Table 1 
Schechter Function Parameters


Redshift (z)	alpha	log M*	phi* (x10^-4)	Limit	References	
		(M_sun)	(Mpc^-3)	log M_*		
(1)	(2)	(3)	(4)	(5)	(6)	
3.50-4.50	-1.63 +or- 0.09	10.96 +or- 0.18	1.2 +or- 0.4	8.5	Grazian+15	
4.25-5.00	-1.85${}_{-0.32}^{+0.27}$	11.06 +or- 0.1	0.1 +or- 0.1	10.5	Caputi+11	
4.50-5.50	-1.74${}_{-0.29}^{+0.41}$	${10.90}_{-0.46}^{+0.98}$	${1.2}_{-1.2}^{+4.8}$	8.7	Duncan+14	
4.50-5.50	-1.67${}_{-0.07}^{+0.08}$	${10.47}_{-0.20}^{+0.20}$	${1.3}_{-0.6}^{+1.0}$	8.7	Song+16	
4.50-5.50	-1.63 +or- 0.09	10.78 +or- 0.23	0.7 +or- 0.3	8.7	Grazian+15	
5.50-6.50	-2.00${}_{-0.40}^{+0.57}$	${11.09}_{-1.06}^{+1.13}$	${0.1}_{-0.1}^{+4.1}$	9.0	Duncan+14	
5.50-6.50	-1.55 +or- 0.19	10.49 +or- 0.32	0.7 +or- 0.5	8.9	Grazian+15	
5.50-6.50	-1.93${}_{-0.09}^{+0.09}$	${10.30}_{-0.15}^{+0.14}$	${0.3}_{-0.1}^{+0.3}$	9.0	Song+16	
6.50-7.50	-2.05${}_{-0.17}^{+0.17}$	${10.42}_{-0.18}^{+0.19}$	${0.1}_{-0.5}^{+0.1}$	9.2	Song+16	
6.50-7.50	-1.88 +or- 0.36	10.69 +or- 1.58	0.1 +or- 0.1	9.2	Grazian+15	
Notes. This table lists the parameters of the fitted Schechter functions that we use to carry out our calculations. These fits are all normalized to have the same Salpeter IMF with Pozzetti et al. (2007), Duncan et al. (2014), and Mortlock et al. (2015) originally using a Chabrier IMF, and Muzzin et al. (2013) using a Kroupa IMF.
^a Fontana et al. (2006) fit the evolution of the Schechter parameters over redshift and not within individual redshift bins. These values are thus derived by using their fitting formula for the parameters and their associated errors.
^b Mortlock et al. (2011) use a constant M* at log M* = 11.43 across the redshift range they study from z = 1-3.
